ensemble_type,strategy,weights,estimators,best_cost,c1_strategy,c2_strategy,w_strategy,n_inter_pso,n_particles,n_processes_pso,c1,c2,w,features,training_time,testing_time,train_accuracy,train_precision_0,train_precision_1,train_recall_0,train_recall_1,train_f1_0,train_f1_1,train_mcc,train_support_0,train_support_1,train_support,train_macro_avg_precision,train_macro_avg_recall,train_macro_avg_f1,train_weighted_avg_precision,train_weighted_avg_recall,train_weighted_avg_f1,test_accuracy,test_precision_0,test_precision_1,test_recall_0,test_recall_1,test_f1_0,test_f1_1,test_mcc,test_support_0,test_support_1,test_support,test_macro_avg_precision,test_macro_avg_recall,test_macro_avg_f1,test_weighted_avg_precision,test_weighted_avg_recall,test_weighted_avg_f1
VotingClassifier,weight_voting_hard,"[0.898210168369928, 1.4846672217184174, -0.08193197278118887, -0.24829261222818536, 1.678366210336309]","[SGDClassifier(class_weight='balanced', eta0=0.2476923834458562,
              learning_rate='adaptive', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), BernoulliNB(alpha=0.05857603724009097, binarize=0.03756792108913587,
            fit_prior=False), ComplementNB(alpha=0.08533942891319435)]",0.030564761,lin_variation,nonlin_mod,exp_decay,500,30,60,0.739,0.829,0.815,tfidf,3928177,71,0.999982373,0.999982373,0.999982373,0.999982373,0.999982373,0.999982373,0.999982373,0.999964747,56732,56732,113464,0.999982373,0.999982373,0.999982373,0.999982373,0.999982373,0.999982373,0.969647295,0.966784044,0.97254589,0.972714293,0.966580297,0.969740102,0.969553917,0.939312262,18911,18911,37822,0.969664967,0.969647295,0.96964701,0.969664967,0.969647295,0.96964701
VotingClassifier,weight_voting_hard,"[0.42175622761092624, 1.1278937799955706, -1.1691246461719944]","[SGDClassifier(class_weight='balanced', eta0=0.2476923834458562,
              learning_rate='adaptive', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced')]",0.037650709,lin_variation,nonlin_mod,exp_decay,300,80,60,0.739,0.829,0.815,tfidf,5343392,13,1,1,1,1,1,1,1,1,56732,56732,113464,1,1,1,1,1,1,0.965813548,0.960818163,0.970918422,0.971233674,0.960393422,0.965997844,0.965627243,0.931681838,18911,18911,37822,0.965868292,0.965813548,0.965812543,0.965868292,0.965813548,0.965812543
VotingClassifier,weight_voting_hard,"[1.1798876961671538, 1.306727720040175, 0.5880854370049381, -0.4654157463173101, 1.9577774034186552, 0.9817519962264579, -0.9823662866366524]","[SGDClassifier(class_weight='balanced', eta0=0.2476923834458562,
              learning_rate='adaptive', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), BernoulliNB(alpha=0.05857603724009097, binarize=0.03756792108913587,
            fit_prior=False), ComplementNB(alpha=0.08533942891319435), MultinomialNB(alpha=0.07759048342015018), LogisticRegression(class_weight='balanced', solver='saga')]",0.02964817,lin_variation,nonlin_mod,exp_decay,300,80,60,0.739,0.829,0.815,tfidf,8112215,81,0.99997356,0.999964747,0.999982373,0.999982373,0.999964747,0.99997356,0.99997356,0.99994712,56732,56732,113464,0.99997356,0.99997356,0.99997356,0.99997356,0.99997356,0.99997356,0.969092063,0.967337478,0.970859873,0.970969277,0.967214849,0.969149975,0.969033933,0.938190738,18911,18911,37822,0.969098675,0.969092063,0.969091954,0.969098675,0.969092063,0.969091954
VotingClassifier,weight_voting_hard,"[0.7832550357508219, 1.282364397639761, 0.5044338303676784, 0.6069911451049436, 1.5374281331790107]","[SGDClassifier(class_weight='balanced', eta0=0.2476923834458562,
              learning_rate='adaptive', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), BernoulliNB(alpha=0.05857603724009097, binarize=0.03756792108913587,
            fit_prior=False), ComplementNB(alpha=0.08533942891319435)]",0.0319749,lin_variation,nonlin_mod,exp_decay,300,80,60,0.739,0.829,0.815,tfidf,5376482,73,0.999850173,0.999788505,0.999911855,0.999911866,0.999788479,0.999850182,0.999850163,0.999700353,56732,56732,113464,0.99985018,0.999850173,0.999850173,0.99985018,0.999850173,0.999850173,0.969541537,0.966580842,0.972540046,0.972714293,0.96636878,0.969637868,0.969444592,0.93910198,18911,18911,37822,0.969560444,0.969541537,0.96954123,0.969560444,0.969541537,0.96954123
VotingClassifier,weight_voting_hard,"[0.31012076269118655, 0.6125108276671177, -0.4628054785867165]","[SGDClassifier(class_weight='balanced', eta0=0.2476923834458562,
              learning_rate='adaptive', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced')]",0.033949094,lin_variation,nonlin_mod,exp_decay,300,100,60,0.739,0.829,0.815,tfidf,6210298,14,1,1,1,1,1,1,1,1,56732,56732,113464,1,1,1,1,1,1,0.965231876,0.960483618,0.970079077,0.970387605,0.960076146,0.965410211,0.965051692,0.930513222,18911,18911,37822,0.965281347,0.965231876,0.965230951,0.965281347,0.965231876,0.965230951
VotingClassifier,weight_voting_hard,"[1.0675666815854954, 1.159238631127633, 0.5546845528054096, -0.19461647807215146, 0.7348135189408115, 0.8772931444794942, -1.0400156308821773]","[SGDClassifier(class_weight='balanced', eta0=0.2476923834458562,
              learning_rate='adaptive', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), BernoulliNB(alpha=0.05857603724009097, binarize=0.03756792108913587,
            fit_prior=False), ComplementNB(alpha=0.08533942891319435), MultinomialNB(alpha=0.07759048342015018), LogisticRegression(class_weight='balanced', solver='saga')]",0.0319749,lin_variation,nonlin_mod,exp_decay,300,100,60,0.739,0.829,0.815,tfidf,10113694,83,0.999982373,0.999982373,0.999982373,0.999982373,0.999982373,0.999982373,0.999982373,0.999964747,56732,56732,113464,0.999982373,0.999982373,0.999982373,0.999982373,0.999982373,0.999982373,0.97004389,0.967202775,0.97291977,0.973084448,0.967003331,0.970134697,0.969952529,0.940105162,18911,18911,37822,0.970061273,0.97004389,0.970043613,0.970061273,0.97004389,0.970043613
VotingClassifier,weight_voting_hard,"[0.977503135662372, 0.3877036208598616, -0.5881155039863539, -0.016903841697041712, 0.879126820710368]","[SGDClassifier(class_weight='balanced', eta0=0.2476923834458562,
              learning_rate='adaptive', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), BernoulliNB(alpha=0.05857603724009097, binarize=0.03756792108913587,
            fit_prior=False), ComplementNB(alpha=0.08533942891319435)]",0.030423747,lin_variation,nonlin_mod,exp_decay,300,100,60,0.739,0.829,0.815,tfidf,6685284,66,0.999982373,0.999982373,0.999982373,0.999982373,0.999982373,0.999982373,0.999982373,0.999964747,56732,56732,113464,0.999982373,0.999982373,0.999982373,0.999982373,0.999982373,0.999982373,0.969700175,0.966738479,0.972699697,0.972872931,0.966527418,0.969796004,0.969603735,0.939419262,18911,18911,37822,0.969719088,0.969700175,0.969699869,0.969719088,0.969700175,0.969699869
VotingClassifier,weight_voting_hard,"[0.8437133334267808, 1.8065869483490362, -0.6622591193710351]","[SGDClassifier(class_weight='balanced', eta0=0.2476923834458562,
              learning_rate='adaptive', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced')]",0.037650709,lin_variation,nonlin_mod,exp_decay,500,10,60,0.739,0.829,0.815,tfidf,1864398,16,0.999991187,1,0.999982374,0.999982373,1,0.999991187,0.999991187,0.999982373,56732,56732,113464,0.999991187,0.999991187,0.999991187,0.999991187,0.999991187,0.999991187,0.965390513,0.960496023,0.970390166,0.970704881,0.960076146,0.965573469,0.965205603,0.930833607,18911,18911,37822,0.965443095,0.965390513,0.965389536,0.965443095,0.965390513,0.965389536
VotingClassifier,weight_voting_hard,"[1.5673969170062774, 0.5989860921455332, 0.7998976534586235, 0.5820925782959301, 1.2631312481827492, 0.7305499390272306, 0.7343006113338965]","[SGDClassifier(class_weight='balanced', eta0=0.2476923834458562,
              learning_rate='adaptive', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), BernoulliNB(alpha=0.05857603724009097, binarize=0.03756792108913587,
            fit_prior=False), ComplementNB(alpha=0.08533942891319435), MultinomialNB(alpha=0.07759048342015018), LogisticRegression(class_weight='balanced', solver='saga')]",0.0319749,lin_variation,nonlin_mod,exp_decay,500,10,60,0.739,0.829,0.815,tfidf,2672811,84,0.999841359,0.999770885,0.999911854,0.999911866,0.999770852,0.999841371,0.999841348,0.999682729,56732,56732,113464,0.999841369,0.999841359,0.999841359,0.999841369,0.999841359,0.999841359,0.969462218,0.966477512,0.972485365,0.972661414,0.966263022,0.969559603,0.969364208,0.938943656,18911,18911,37822,0.969481438,0.969462218,0.969461905,0.969481438,0.969462218,0.969461905
VotingClassifier,weight_voting_hard,"[0.7542692031897478, 0.8087906863628822, 0.631859954119909, -0.3966057821023538, 2.130955990159554]","[SGDClassifier(class_weight='balanced', eta0=0.2476923834458562,
              learning_rate='adaptive', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), BernoulliNB(alpha=0.05857603724009097, binarize=0.03756792108913587,
            fit_prior=False), ComplementNB(alpha=0.08533942891319435)]",0.03208066,lin_variation,nonlin_mod,exp_decay,500,10,60,0.739,0.829,0.815,tfidf,2000207,67,0.999911866,0.999894243,0.999929491,0.999929493,0.99989424,0.999911868,0.999911865,0.999823733,56732,56732,113464,0.999911867,0.999911866,0.999911866,0.999911867,0.999911866,0.999911866,0.969779493,0.967136397,0.97245267,0.972608535,0.966950452,0.969864747,0.969693756,0.939574027,18911,18911,37822,0.969794533,0.969779493,0.969779252,0.969794533,0.969779493,0.969779252
VotingClassifier,weight_voting_hard,"[0.7307774448180249, 0.7853823129963848, 0.14776493737888322]","[SGDClassifier(class_weight='balanced', eta0=0.2476923834458562,
              learning_rate='adaptive', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced')]",0.037439188,lin_variation,nonlin_mod,exp_decay,500,30,60,0.739,0.829,0.815,tfidf,3690476,18,0.999991187,1,0.999982374,0.999982373,1,0.999991187,0.999991187,0.999982373,56732,56732,113464,0.999991187,0.999991187,0.999991187,0.999991187,0.999991187,0.999991187,0.965602031,0.960464387,0.970855615,0.971180794,0.960023267,0.965792864,0.965409056,0.93126203,18911,18911,37822,0.965660001,0.965602031,0.96560096,0.965660001,0.965602031,0.96560096
VotingClassifier,weight_voting_hard,"[1.0382134690717668, 1.3136315168245514, 0.8172613516673761, 0.5621577639296225, 1.3993887261706988, 0.08647376658466853, -0.6862031305016393]","[SGDClassifier(class_weight='balanced', eta0=0.2476923834458562,
              learning_rate='adaptive', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), BernoulliNB(alpha=0.05857603724009097, binarize=0.03756792108913587,
            fit_prior=False), ComplementNB(alpha=0.08533942891319435), MultinomialNB(alpha=0.07759048342015018), LogisticRegression(class_weight='balanced', solver='saga')]",0.031234577,lin_variation,nonlin_mod,exp_decay,500,30,60,0.739,0.829,0.815,tfidf,5317157,88,0.999964747,0.999964747,0.999964747,0.999964747,0.999964747,0.999964747,0.999964747,0.999929493,56732,56732,113464,0.999964747,0.999964747,0.999964747,0.999964747,0.999964747,0.999964747,0.969832373,0.966894377,0.972807578,0.97297869,0.966686056,0.969926992,0.969737156,0.93968335,18911,18911,37822,0.969850977,0.969832373,0.969832074,0.969850977,0.969832373,0.969832074
VotingClassifier,weight_voting_hard,"[0.898210168369928, 1.4846672217184174, -0.08193197278118887, -0.24829261222818536, 1.678366210336309]","[SGDClassifier(class_weight='balanced', eta0=0.2476923834458562,
              learning_rate='adaptive', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), BernoulliNB(alpha=0.05857603724009097, binarize=0.03756792108913587,
            fit_prior=False), ComplementNB(alpha=0.08533942891319435)]",0.030564761,lin_variation,nonlin_mod,exp_decay,500,30,60,0.739,0.829,0.815,tfidf,3928177,71,0.999982373,0.999982373,0.999982373,0.999982373,0.999982373,0.999982373,0.999982373,0.999964747,56732,56732,113464,0.999982373,0.999982373,0.999982373,0.999982373,0.999982373,0.999982373,0.969647295,0.966784044,0.97254589,0.972714293,0.966580297,0.969740102,0.969553917,0.939312262,18911,18911,37822,0.969664967,0.969647295,0.96964701,0.969664967,0.969647295,0.96964701
VotingClassifier,weight_voting_hard,"[-0.01313602908648676, 0.7658206095537852, -0.15877978238778687]","[SGDClassifier(class_weight='balanced', eta0=0.2476923834458562,
              learning_rate='adaptive', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced')]",0.03796799,lin_variation,nonlin_mod,exp_decay,500,50,60,0.739,0.829,0.815,tfidf,5633452,15,1,1,1,1,1,1,1,1,56732,56732,113464,1,1,1,1,1,1,0.965496272,0.960841797,0.970245726,0.970546243,0.960446301,0.965669639,0.965321145,0.931040032,18911,18911,37822,0.965543762,0.965496272,0.965495392,0.965543762,0.965496272,0.965495392
VotingClassifier,weight_voting_hard,"[1.3368888492782653, 0.4120819558041963, 0.8377605913898719, 0.004175035383812648, 1.1386398826001087, 0.7363678951011406, -0.5072683667048292]","[SGDClassifier(class_weight='balanced', eta0=0.2476923834458562,
              learning_rate='adaptive', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), BernoulliNB(alpha=0.05857603724009097, binarize=0.03756792108913587,
            fit_prior=False), ComplementNB(alpha=0.08533942891319435), MultinomialNB(alpha=0.07759048342015018), LogisticRegression(class_weight='balanced', solver='saga')]",0.030846788,lin_variation,nonlin_mod,exp_decay,500,50,60,0.739,0.829,0.815,tfidf,8825033,78,0.999964747,0.999964747,0.999964747,0.999964747,0.999964747,0.999964747,0.999964747,0.999929493,56732,56732,113464,0.999964747,0.999964747,0.999964747,0.999964747,0.999964747,0.999964747,0.969885252,0.967241561,0.97255903,0.972714293,0.967056211,0.969970207,0.969799814,0.939785547,18911,18911,37822,0.969900295,0.969885252,0.969885011,0.969900295,0.969885252,0.969885011
VotingClassifier,weight_voting_hard,"[0.7567326920607211, 0.5885581547941614, 0.35227280638796726, 0.027646489565436267, 1.1310781172893025]","[SGDClassifier(class_weight='balanced', eta0=0.2476923834458562,
              learning_rate='adaptive', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), BernoulliNB(alpha=0.05857603724009097, binarize=0.03756792108913587,
            fit_prior=False), ComplementNB(alpha=0.08533942891319435)]",0.030670521,lin_variation,nonlin_mod,exp_decay,500,50,60,0.739,0.829,0.815,tfidf,6017513,65,0.999929493,0.999911869,0.999947118,0.99994712,0.999911866,0.999929494,0.999929492,0.999858987,56732,56732,113464,0.999929494,0.999929493,0.999929493,0.999929494,0.999929493,0.999929493,0.969647295,0.966636894,0.972696791,0.972872931,0.966421659,0.969744887,0.969549072,0.939314137,18911,18911,37822,0.969666842,0.969647295,0.969646979,0.969666842,0.969647295,0.969646979
VotingClassifier,weight_voting_hard,"[0.42175622761092624, 1.1278937799955706, -1.1691246461719944]","[SGDClassifier(class_weight='balanced', eta0=0.2476923834458562,
              learning_rate='adaptive', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced')]",0.037650709,lin_variation,nonlin_mod,exp_decay,300,80,60,0.739,0.829,0.815,tfidf,5343392,13,1,1,1,1,1,1,1,1,56732,56732,113464,1,1,1,1,1,1,0.965813548,0.960818163,0.970918422,0.971233674,0.960393422,0.965997844,0.965627243,0.931681838,18911,18911,37822,0.965868292,0.965813548,0.965812543,0.965868292,0.965813548,0.965812543
VotingClassifier,weight_voting_hard,"[1.1798876961671538, 1.306727720040175, 0.5880854370049381, -0.4654157463173101, 1.9577774034186552, 0.9817519962264579, -0.9823662866366524]","[SGDClassifier(class_weight='balanced', eta0=0.2476923834458562,
              learning_rate='adaptive', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), BernoulliNB(alpha=0.05857603724009097, binarize=0.03756792108913587,
            fit_prior=False), ComplementNB(alpha=0.08533942891319435), MultinomialNB(alpha=0.07759048342015018), LogisticRegression(class_weight='balanced', solver='saga')]",0.02964817,lin_variation,nonlin_mod,exp_decay,300,80,60,0.739,0.829,0.815,tfidf,8112215,81,0.99997356,0.999964747,0.999982373,0.999982373,0.999964747,0.99997356,0.99997356,0.99994712,56732,56732,113464,0.99997356,0.99997356,0.99997356,0.99997356,0.99997356,0.99997356,0.969092063,0.967337478,0.970859873,0.970969277,0.967214849,0.969149975,0.969033933,0.938190738,18911,18911,37822,0.969098675,0.969092063,0.969091954,0.969098675,0.969092063,0.969091954
VotingClassifier,weight_voting_hard,"[0.7832550357508219, 1.282364397639761, 0.5044338303676784, 0.6069911451049436, 1.5374281331790107]","[SGDClassifier(class_weight='balanced', eta0=0.2476923834458562,
              learning_rate='adaptive', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), BernoulliNB(alpha=0.05857603724009097, binarize=0.03756792108913587,
            fit_prior=False), ComplementNB(alpha=0.08533942891319435)]",0.0319749,lin_variation,nonlin_mod,exp_decay,300,80,60,0.739,0.829,0.815,tfidf,5376482,73,0.999850173,0.999788505,0.999911855,0.999911866,0.999788479,0.999850182,0.999850163,0.999700353,56732,56732,113464,0.99985018,0.999850173,0.999850173,0.99985018,0.999850173,0.999850173,0.969541537,0.966580842,0.972540046,0.972714293,0.96636878,0.969637868,0.969444592,0.93910198,18911,18911,37822,0.969560444,0.969541537,0.96954123,0.969560444,0.969541537,0.96954123
VotingClassifier,weight_voting_hard,"[0.31012076269118655, 0.6125108276671177, -0.4628054785867165]","[SGDClassifier(class_weight='balanced', eta0=0.2476923834458562,
              learning_rate='adaptive', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced')]",0.033949094,lin_variation,nonlin_mod,exp_decay,300,100,60,0.739,0.829,0.815,tfidf,6210298,14,1,1,1,1,1,1,1,1,56732,56732,113464,1,1,1,1,1,1,0.965231876,0.960483618,0.970079077,0.970387605,0.960076146,0.965410211,0.965051692,0.930513222,18911,18911,37822,0.965281347,0.965231876,0.965230951,0.965281347,0.965231876,0.965230951
VotingClassifier,weight_voting_hard,"[1.0675666815854954, 1.159238631127633, 0.5546845528054096, -0.19461647807215146, 0.7348135189408115, 0.8772931444794942, -1.0400156308821773]","[SGDClassifier(class_weight='balanced', eta0=0.2476923834458562,
              learning_rate='adaptive', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), BernoulliNB(alpha=0.05857603724009097, binarize=0.03756792108913587,
            fit_prior=False), ComplementNB(alpha=0.08533942891319435), MultinomialNB(alpha=0.07759048342015018), LogisticRegression(class_weight='balanced', solver='saga')]",0.0319749,lin_variation,nonlin_mod,exp_decay,300,100,60,0.739,0.829,0.815,tfidf,10113694,83,0.999982373,0.999982373,0.999982373,0.999982373,0.999982373,0.999982373,0.999982373,0.999964747,56732,56732,113464,0.999982373,0.999982373,0.999982373,0.999982373,0.999982373,0.999982373,0.97004389,0.967202775,0.97291977,0.973084448,0.967003331,0.970134697,0.969952529,0.940105162,18911,18911,37822,0.970061273,0.97004389,0.970043613,0.970061273,0.97004389,0.970043613
VotingClassifier,weight_voting_hard,"[0.977503135662372, 0.3877036208598616, -0.5881155039863539, -0.016903841697041712, 0.879126820710368]","[SGDClassifier(class_weight='balanced', eta0=0.2476923834458562,
              learning_rate='adaptive', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), BernoulliNB(alpha=0.05857603724009097, binarize=0.03756792108913587,
            fit_prior=False), ComplementNB(alpha=0.08533942891319435)]",0.030423747,lin_variation,nonlin_mod,exp_decay,300,100,60,0.739,0.829,0.815,tfidf,6685284,66,0.999982373,0.999982373,0.999982373,0.999982373,0.999982373,0.999982373,0.999982373,0.999964747,56732,56732,113464,0.999982373,0.999982373,0.999982373,0.999982373,0.999982373,0.999982373,0.969700175,0.966738479,0.972699697,0.972872931,0.966527418,0.969796004,0.969603735,0.939419262,18911,18911,37822,0.969719088,0.969700175,0.969699869,0.969719088,0.969700175,0.969699869
VotingClassifier,weight_voting_hard,"[0.8437133334267808, 1.8065869483490362, -0.6622591193710351]","[SGDClassifier(class_weight='balanced', eta0=0.2476923834458562,
              learning_rate='adaptive', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced')]",0.037650709,lin_variation,nonlin_mod,exp_decay,500,10,60,0.739,0.829,0.815,tfidf,1864398,16,0.999991187,1,0.999982374,0.999982373,1,0.999991187,0.999991187,0.999982373,56732,56732,113464,0.999991187,0.999991187,0.999991187,0.999991187,0.999991187,0.999991187,0.965390513,0.960496023,0.970390166,0.970704881,0.960076146,0.965573469,0.965205603,0.930833607,18911,18911,37822,0.965443095,0.965390513,0.965389536,0.965443095,0.965390513,0.965389536
VotingClassifier,weight_voting_hard,"[1.5673969170062774, 0.5989860921455332, 0.7998976534586235, 0.5820925782959301, 1.2631312481827492, 0.7305499390272306, 0.7343006113338965]","[SGDClassifier(class_weight='balanced', eta0=0.2476923834458562,
              learning_rate='adaptive', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), BernoulliNB(alpha=0.05857603724009097, binarize=0.03756792108913587,
            fit_prior=False), ComplementNB(alpha=0.08533942891319435), MultinomialNB(alpha=0.07759048342015018), LogisticRegression(class_weight='balanced', solver='saga')]",0.0319749,lin_variation,nonlin_mod,exp_decay,500,10,60,0.739,0.829,0.815,tfidf,2672811,84,0.999841359,0.999770885,0.999911854,0.999911866,0.999770852,0.999841371,0.999841348,0.999682729,56732,56732,113464,0.999841369,0.999841359,0.999841359,0.999841369,0.999841359,0.999841359,0.969462218,0.966477512,0.972485365,0.972661414,0.966263022,0.969559603,0.969364208,0.938943656,18911,18911,37822,0.969481438,0.969462218,0.969461905,0.969481438,0.969462218,0.969461905
VotingClassifier,weight_voting_hard,"[0.7542692031897478, 0.8087906863628822, 0.631859954119909, -0.3966057821023538, 2.130955990159554]","[SGDClassifier(class_weight='balanced', eta0=0.2476923834458562,
              learning_rate='adaptive', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), BernoulliNB(alpha=0.05857603724009097, binarize=0.03756792108913587,
            fit_prior=False), ComplementNB(alpha=0.08533942891319435)]",0.03208066,lin_variation,nonlin_mod,exp_decay,500,10,60,0.739,0.829,0.815,tfidf,2000207,67,0.999911866,0.999894243,0.999929491,0.999929493,0.99989424,0.999911868,0.999911865,0.999823733,56732,56732,113464,0.999911867,0.999911866,0.999911866,0.999911867,0.999911866,0.999911866,0.969779493,0.967136397,0.97245267,0.972608535,0.966950452,0.969864747,0.969693756,0.939574027,18911,18911,37822,0.969794533,0.969779493,0.969779252,0.969794533,0.969779493,0.969779252
VotingClassifier,weight_voting_hard,"[0.7307774448180249, 0.7853823129963848, 0.14776493737888322]","[SGDClassifier(class_weight='balanced', eta0=0.2476923834458562,
              learning_rate='adaptive', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced')]",0.037439188,lin_variation,nonlin_mod,exp_decay,500,30,60,0.739,0.829,0.815,tfidf,3690476,18,0.999991187,1,0.999982374,0.999982373,1,0.999991187,0.999991187,0.999982373,56732,56732,113464,0.999991187,0.999991187,0.999991187,0.999991187,0.999991187,0.999991187,0.965602031,0.960464387,0.970855615,0.971180794,0.960023267,0.965792864,0.965409056,0.93126203,18911,18911,37822,0.965660001,0.965602031,0.96560096,0.965660001,0.965602031,0.96560096
VotingClassifier,weight_voting_hard,"[1.0382134690717668, 1.3136315168245514, 0.8172613516673761, 0.5621577639296225, 1.3993887261706988, 0.08647376658466853, -0.6862031305016393]","[SGDClassifier(class_weight='balanced', eta0=0.2476923834458562,
              learning_rate='adaptive', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), BernoulliNB(alpha=0.05857603724009097, binarize=0.03756792108913587,
            fit_prior=False), ComplementNB(alpha=0.08533942891319435), MultinomialNB(alpha=0.07759048342015018), LogisticRegression(class_weight='balanced', solver='saga')]",0.031234577,lin_variation,nonlin_mod,exp_decay,500,30,60,0.739,0.829,0.815,tfidf,5317157,88,0.999964747,0.999964747,0.999964747,0.999964747,0.999964747,0.999964747,0.999964747,0.999929493,56732,56732,113464,0.999964747,0.999964747,0.999964747,0.999964747,0.999964747,0.999964747,0.969832373,0.966894377,0.972807578,0.97297869,0.966686056,0.969926992,0.969737156,0.93968335,18911,18911,37822,0.969850977,0.969832373,0.969832074,0.969850977,0.969832373,0.969832074
VotingClassifier,weight_voting_hard,"[0.898210168369928, 1.4846672217184174, -0.08193197278118887, -0.24829261222818536, 1.678366210336309]","[SGDClassifier(class_weight='balanced', eta0=0.2476923834458562,
              learning_rate='adaptive', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), BernoulliNB(alpha=0.05857603724009097, binarize=0.03756792108913587,
            fit_prior=False), ComplementNB(alpha=0.08533942891319435)]",0.030564761,lin_variation,nonlin_mod,exp_decay,500,30,60,0.739,0.829,0.815,tfidf,3928177,71,0.999982373,0.999982373,0.999982373,0.999982373,0.999982373,0.999982373,0.999982373,0.999964747,56732,56732,113464,0.999982373,0.999982373,0.999982373,0.999982373,0.999982373,0.999982373,0.969647295,0.966784044,0.97254589,0.972714293,0.966580297,0.969740102,0.969553917,0.939312262,18911,18911,37822,0.969664967,0.969647295,0.96964701,0.969664967,0.969647295,0.96964701
VotingClassifier,weight_voting_hard,"[-0.01313602908648676, 0.7658206095537852, -0.15877978238778687]","[SGDClassifier(class_weight='balanced', eta0=0.2476923834458562,
              learning_rate='adaptive', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced')]",0.03796799,lin_variation,nonlin_mod,exp_decay,500,50,60,0.739,0.829,0.815,tfidf,5633452,15,1,1,1,1,1,1,1,1,56732,56732,113464,1,1,1,1,1,1,0.965496272,0.960841797,0.970245726,0.970546243,0.960446301,0.965669639,0.965321145,0.931040032,18911,18911,37822,0.965543762,0.965496272,0.965495392,0.965543762,0.965496272,0.965495392
